Tijdstempel,What is your age?,What is your nationality or multiple nationalities? ,How do you identify?,What bachelor's degree did you complete?,What is your prior work experience?,What is your favourite color?:),Which study tracks are you primarily following?,What has been your favourite course (so far)?,"What is a course you would have liked to take, but didn't?",How many courses have you taken at the VU? Please answer in the following format: [courses at the VU/total number of courses at VU and UvA]. ,"On average, how often do you go to campus (meaning any VU or UvA related workspace)?","When you go to campus, where do you go the most?","Do you have a favourite spot on campus - if so, where?",Do you usually bring your own lunch or buy it at campus?,"If you had to search for housing in order to study this Master's degree, what was the craziest offer you were given? And did you take it?",How long does it take you to go to Science Park?,How many weekends do you spend studying?,How many parties have you missed due to your studies?,What is something you struggle with as a student?,What is something you find easy as a student?,What is your go-to strategy when stressed?,What do you like the most about this Master's program? ,"How many GitHub commits did you make this year? To find it go to: https://github.com/YourUserName and scroll down to ""x contributions in the last year"".",Which teacher is most likely to win the annual pubquiz?,Which teacher likely drinks the most coffee?,Which teacher is most likely to win a sports medal?,Which teacher likely travels the most for work?,Which teacher likely makes the most jokes in a lecture?,Which teacher likely owns the most amount of plants?,Which teacher likely arrives first to the office in the morning?,Which teacher likely has the largest number of GitHub commits in 2024?,"Similar to a yearbook collage - send us any (group) photos from your time in this Master's program to ima.clsmaster@gmail.com. 

Submitting a photo means agreeing to it being published on the website."
20-3-2025 15:28:03,27,"Uyghur,Turkish",Male,Physics,I have worked full-time while not studying,"Blue,Green",Computational Science Core,Evolutionary Computing,None,,1-2 days / week,VU campus,,I buy my lunch,Had no money to take crazy offers. Was lucky enough to be able to afford one,An hour or more,More weekends are spent studying than not studying,0,This program. ,Life here,Game or eat out,It is broad. Has many potential and very up to date,70,,,,,,,,,
20-3-2025 15:31:39,23,Dutch,Female,Liberal Arts and Sciences,"I have worked student jobs in retail or customer service fields, I have worked student jobs that were related to my studies",Yellow,"Scientific Computing / Numerical Math,Complex Systems",Theory of Complex Systems,Uncertainty quantification (because it wasn’t on offer),1/14,3-4 days / week,Science Park,,An even mix,,"Between [30, 60) minutes",More weekends are spent studying than not studying,Maybe 2?,Studying in my own room,Going to lectures,Taking a walk,The fact that you can choose so many courses from other disciplines and fit them in your degree.,30,Mike Lees,,,Clelia de Mulatier,Gábor Závodszky,Jaap Kaandorp,,Gábor Závodszky,
20-3-2025 15:32:18,26,Dutch,Male,Forensic Science,I have worked full-time while not studying,Orange,None - I am following courses I am drawn to and not sticking to a domain,Scientific Computing ,Data Mining Techniques,3/10,3-4 days / week,Science Park,The B study rooms,An even mix,NA,An hour or more,Fewer weekends are spent studying than not studying,0,Studying for exams,Doing assignments,Watch a movie,That you can apply it in every domain,95,Mike Lees,,,,,,,,
20-3-2025 15:40:09,23,Dutch,Male,Psychology,I have worked student jobs that were related to my studies,Mulberry,Computational Social Choice,Game Theory,Functional Programming,1/14,3-4 days / week,Science Park,Lab42 3th Floor,I bring my lunch,,"Between [30, 60) minutes",More weekends are spent studying than not studying,0,Balancing loads between student work/ ta work/ person projects/ leisure,Adapting to courses I lack the background for,Usually I do the thing that is stressing me out while making all other things frictionless (e.g. don't worry about making lunch just get something etc.),The ability to choose my own courses,472,Mike Lees,Gábor Závodszky,Gábor Závodszky,Mike Lees,Guido Schafer,,Rick Quax,Gábor Závodszky,
20-3-2025 15:45:16,24,Dutch,Male,Information Studies,I have worked student jobs that were related to my studies,Blue,"Computational Science Core,Computational Biology,Complex Systems",Scientific Computing,Game Theory,1/7,3-4 days / week,Science Park,Lab42 3th Floor,I bring my lunch,,"Between [5, 15) minutes",More weekends are spent studying than not studying,2,Processing notes,Discipline ,Eating unhealthy,Creating code from mathematical models,598,Alfons Hoekstra,Valeria Krzhizhanovskaya,Mike Lees,Rick Quax,Gábor Závodszky,Jaap Kaandorp,Valeria Krzhizhanovskaya,Rick Quax,
20-3-2025 15:46:03,34,Chinese,Male,Automation,I have worked full-time while not studying,Purple,"Computational Science Core,Computational Finance / Economics,High Performance Computing, Scientific Computing / Numerical Math",Numerical Algorithms,Advanced Topics of Computational Finance,4/13,3-4 days / week,Science Park,C105,I bring my lunch,"Go to other countries. No I did not take it, because I like Netherlands","Between [30, 60) minutes",More weekends are spent studying than not studying,10000000,"Language, and the cultrue difference",No product manager pushing you coding,Work Out and Cigar,Close to Newton,216,"Chris Stolk, Gábor Závodszky",Mike Lees,Andrea Tabi,Mike Lees,Gábor Závodszky,,Chris Stolk,Adam Belloum,OK I will sooner or later
20-3-2025 15:50:44,24,Dutch,Male,Artificial Intelligence,"I have worked student jobs in retail or customer service fields, I have worked student jobs that were related to my studies",Purple,"Computational Social Choice,Complex Systems",Evolutionary Computing,"computational finance, because literally all the best courses are in p5 :(",2/7,3-4 days / week,depends on courses,"On the VU campus the NU building, on the UvA wherever is free. ",I bring my lunch,,"Between [30, 60) minutes",Fewer weekends are spent studying than not studying,"Multiple, no idea.","How motivated you need to be all the time to not slip up with your courses (adhd makes this worse as well). When I get distracted for a bit its difficult to catch up, with how it's going now, I'll probably quit. I also struggle with the fact that many of my friends have been working for a while now, when I am still getting my masters.  ","I do pretty well in group projects, I like managing how it's going and making sure everyone is doing something. ","Work out, seek some social contact by going to a party or calling friends to hang out. ","It is a very specific skill set, but also very broadly applicable. I like some of the courses. ",,,,,,,,,,
20-3-2025 15:53:54,24,Dutch,Female,Mathematics,I have worked student jobs in retail or customer service fields,Yellow,None - I am following courses I am drawn to and not sticking to a domain,Game Theory,Machine Learning 1,,1-2 days / week,Science Park,Rode stoelen,I bring my lunch,,"Between [5, 15) minutes",Fewer weekends are spent studying than not studying,0,,,,,184,,,,,,,,,
20-3-2025 16:05:11,24,Bulgarian,Female,Data Science,"I have worked student jobs in retail or customer service fields, I have worked student jobs that were related to my studies, I have worked full-time while not studying",Green,"Computational Science Core,Computational Finance / Economics,Complex Systems",Scientific Computing ,-,,3-4 days / week,Science Park,library science park,An even mix,1100 for 10cm2 room,An hour or more,More weekends are spent studying than not studying,"haha, not many",it's ok- not much,socializing? ,"meditate, go for a walk, gym ",the real-life application of really interesting things,164,"Gábor Závodszky, Mike Lees",Andrea Tabi,Gábor Závodszky,Mike Lees,Gábor Závodszky,Andrea Tabi,Chris Stolk,Gábor Závodszky,oki
20-3-2025 16:06:07,22,Dutch,Female,Physics,I have worked student jobs in retail or customer service fields,Green,"Computational Science Core,Computational Chemistry and Physics,Scientific Computing / Numerical Math",Non-Equilibrium Statistical Physics ,machine learning 1,1/6,Less than once a week,Science Park,,I bring my lunch,N/A,"Between [5, 15) minutes",More weekends are spent studying than not studying,1,groups assignments,"flexibility, combining it with other things",go for a walk,,24,,,,,,,,,
20-3-2025 16:06:46,23,Greek,Female,Informatics and Telecommunications,I have worked full-time while not studying,Blue,"Computational Biology,Computational Biomedicine",Algorithms in Sequence Analysis ,Game Theory,4/8,3-4 days / week,Science Park,Lab42,I bring my lunch,1.275 pm and yes i took it,"Between [30, 60) minutes",Fewer weekends are spent studying than not studying,Zero,Housing,Study/social life balance,Do something that is fun and relaxing,How flexible it is to create your own program ,111,Mike Lees,Rick Quax,,,,,,,
20-3-2025 16:10:26,25,Dutch,Male,Artificial Intelligence,I have worked full-time while not studying,Green,"Computational Finance / Economics,Computational Chemistry and Physics, Complex Systems",Complex System Simulation,Stochastic Processes for Finance,1/8,3-4 days / week,Science Park,Lab42 1rst Floor,I bring my lunch,"I got my place through DUWO with waiting time, I currently pay 750 a month which is the only offer I’ve received.","Between [30, 60) minutes",More weekends are spent studying than not studying,3,Staying motivated to go to lectures and to be on track with material as the period goes on.,Cramming for exams.,Work out or go for a run.,The curriculum is fun and diverse.,83,,,,,,,,,
20-3-2025 16:10:53,26,"British, German",Male,Economics,I have worked full-time while not studying,Blue,Computational Finance / Economics,Numerical Algorithms,N/A,1/7,3-4 days / week,Science Park,Outside when it's sunny :),An even mix,I had housing prior.,"Between [30, 60) minutes",Fewer weekends are spent studying than not studying,A few,Keeping motivation high,Implementing a study plan/regime,"Eat ice cream, smoke cigarettes, sleep","Flexibility in course selection, colleagues in programme",63,Rick Quax,Valeria Krzhizhanovskaya,Gábor Závodszky,Mike Lees,Gábor Závodszky,Andrea Tabi,Chris Stolk,Mike Lees,I don't have any (working on improving this)
20-3-2025 16:13:28,21,Italian,Male,Business Engineering ,I have worked student jobs that were related to my studies,Crimson,"Computational Science Core,High Performance Computing,Scientific Computing / Numerical Math","Complex System Simulation, Scientific Computing",Scientific visualisations,1/6,3-4 days / week,Science Park,Lab42 Study Rooms,I buy my lunch,,"Between [30, 60) minutes",More weekends are spent studying than not studying,0,Not getting bored ,Not working 9 to 5,Sports and reading about real world problems ,Niche ,46,Gábor Závodszky,Mike Lees,Gábor Závodszky,Mike Lees,Gábor Závodszky,Mike Lees,Gábor Závodszky,Gábor Závodszky,
20-3-2025 16:15:07,24,Indian,Female,Economics,"I have worked student jobs in retail or customer service fields, I have worked student jobs that were related to my studies, I have worked full-time while not studying",Green,"Computational Social Choice,Complex Systems",Physics of Complex Systems,CED1 or Computational Finance,1/8,5 days / week,Science Park,Lab42 Study Rooms,An even mix,na,"Between [15, 30) minutes",More weekends are spent studying than not studying,3/4 (75%),"time management, expectations (from me towards myself), mental health, etc.",staying interested in the course contents (for the most part),cry (it is what it is) and think about how it might get better if i get a phd/job after this,complex systems based content and most staff (very kind and helpful),219,Rick Quax,Vítor Vasconcelos,"Gábor Závodszky, Mike Lees",Mike Lees,Gábor Závodszky,"Andrea Tabi, Mike Lees",Andrea Tabi,Gábor Závodszky,are you making an yearbook?
20-3-2025 17:03:37,24,Dutch,Female,Physics and Astronomy,I have worked student jobs that were related to my studies,Blue,"Computational Chemistry and Physics,High Performance Computing,Complex Systems",Machine learning for Physics and Astronomy,none,1/12,1-2 days / week,Science Park,Guardens at D,I buy my lunch,not applicable,An hour or more,More weekends are spent studying than not studying,0,The constant pressure to perform,Showing up,write a to do list & cry,The interdisciplinarity (?),633,Clelia de Mulatier,Clelia de Mulatier,Gábor Závodszky,Gábor Závodszky,Gábor Závodszky,Jaap Kaandorp,Francesc Verdugo Rojano,Francesc Verdugo Rojano,no thnx
20-3-2025 17:06:39,22,Dutch,Male,Artificial Intelligence,I have worked full-time while not studying,Green,"Computational Science Core,Computational Finance / Economics,Scientific Computing / Numerical Math,None - I am following courses I am drawn to and not sticking to a domain",Evolutionary Computing,CED 1,2/7,5 days / week,Science Park,Main library,I buy my lunch,N/A,"Between [30, 60) minutes",Fewer weekends are spent studying than not studying,0,Not focussing on the future too much.,Finding time to do my own stuff.,Work harder.,I like how you can truly make it your own!,412,Guszti Eiben,Andrea Tabi,Mike Lees,Andrea Tabi,,Rick Quax,Mike Lees,Rick Quax,
20-3-2025 17:18:50,22,Dutch,Male,Chemistry,I have worked student jobs that were related to my studies,Navy,"Computational Science Core,Computational Chemistry and Physics,Complex Systems, None - I am following courses I am drawn to and not sticking to a domain",Complex System Simulation,not sure,,Less than once a week,Science Park,random rooms in NU building where its silent. I find science park too crowded,I bring my lunch,,An hour or more,All of them,0,routine and sleep schedule,stress,procrastinate to get more stress,i find all the theory super interesting,156,,,,,,,,,
20-3-2025 17:20:40,28,Czech,Female,Mathematics,"I have worked student jobs in retail or customer service fields, I have worked student jobs that were related to my studies, I have worked full-time while not studying",Yellow,"Computational Science Core,Scientific Computing / Numerical Math,Complex Systems",Numerical Algorithms,,2/7,3-4 days / week,Science Park,Round tables in the library,An even mix,"Well, I usually didn't even get an offer for a viewing :D .. but I saw a room without any windows, and I was also almost going to pay 1350 per month for a room. Luckily, I got offered a room through uni in the end, but not sure what I will do next year.","Between [30, 60) minutes",Fewer weekends are spent studying than not studying,2,"Mental health, not being to harsh on myself when it comes to grades, and group projects, finding motivation",Finding a free restroom in the city center since I can always go to Singel library,"Making a to-do list or a detailed list of what I need to do not to feel overwhelmed, talking to other students, taking a little break","I like the people and that they come from different backgrounds. Also, some teachers seem very motivated which is nice to see.",288,Gábor Závodszky,Mike Lees,Mike Lees,Rick Quax,Rick Quax,Francesc Verdugo Rojano,Mike Lees,Gábor Závodszky,
20-3-2025 17:24:05,21,Dutch,Female,Mathematics,I have worked student jobs in retail or customer service fields,Pink,None - I am following courses I am drawn to and not sticking to a domain,Scientific Computing,Advanced machine learning at VU which I will take next year :),1/6,3-4 days / week,Science Park,Lab42,I bring my lunch,,An hour or more,More weekends are spent studying than not studying,0,Not having enough time for hobbies.,"Finish assignments before the deadline, I like to start as soon as possible to prevent stress.","Watching tv or reading a book, something not school related to clear my head.","The combination of mathematics, programming and applications. ",187,,,,,,,,,
20-3-2025 17:40:10,23,American,Female,Mathematics and Statistics ,"I have worked student jobs in retail or customer service fields, I have worked student jobs that were related to my studies, I have worked full-time while not studying",Green,"Computational Biology,Complex Systems",Complex System Simulation,Parameter Estimation Applied to Medical & Biological Science,0/6,More than 5 days / week,Science Park,ABCD Building ,I buy my lunch,,Less than 5 minutes,More weekends are spent studying than not studying,2-5,Having time for anything that isn't school ,Meeting new people ,Doing something I enjoy (gym especially),The interdisciplinary aspect and how many backgrounds you can find in the students,79,Gábor Závodszky,Rick Quax,Gábor Závodszky,Mike Lees,Gábor Závodszky,Andrea Tabi,Chris Stolk,Gábor Závodszky,
20-3-2025 17:40:56,24,German,Male,Business Administration,"I have worked student jobs in retail or customer service fields, I have worked student jobs that were related to my studies","Light Blue, Yellow","Computational Science Core,High Performance Computing, Complex Systems, None - I am following courses I am drawn to and not sticking to a domain",Complex System Simulation,None,4/3,1-2 days / week,VU campus,Science Park Library,I buy my lunch,Did not have to search - Amen🙏,"Between [5, 15) minutes",More weekends are spent studying than not studying,0,Work - Life - Study balance,Vu courses,Gym / Motorcycle for distraction,The people ,20,,,,,,,,,
20-3-2025 17:42:44,23,Dutch,Female,Physics,I have worked student jobs that were related to my studies,Yellow,None - I am following courses I am drawn to and not sticking to a domain,Scientific Computing,None,2/8,1-2 days / week,Science Park,ABCD Building ,I bring my lunch,NA,"Between [5, 15) minutes",More weekends are spent studying than not studying,At least 10 ,Taking up too much work,Group projects,Focus on self care like cooking a nice meal or taking some time off to relax.,"The diversity, both in people and courses. ",367,Rick Quax,Andrea Tabi,Gábor Závodszky,Mike Lees,Valeria Krzhizhanovskaya,Valeria Krzhizhanovskaya,Rick Quax,Rick Quax,
